Q105,"Welche Speisen gibt es zum Frühstück?","Wir bieten ein reichhaltiges Buffet mit warmen und kalten Speisen, Obst, Müsli, Brot, Käse und Aufschnitt."
Q106,"Gibt es vegane Optionen beim Frühstück?","Ja, wir bieten täglich vegane Aufstriche, pflanzliche Milchalternativen und frisches Obst."
Q107,"Gibt es glutenfreies Frühstück?","Ja, bitte informieren Sie uns vorab, damit wir glutenfreie Backwaren bereitstellen."
Q108,"Bis wann wird Abendessen serviert?","Das Restaurant hat bis 22:00 Uhr geöffnet, die Küche schließt um 21:30 Uhr."
Q109,"Kann ich Halbpension buchen?","Ja, Halbpension kann bei der Buchung oder beim Check-In hinzugefügt werden."
Q110,"Was kostet Halbpension?","Halbpension kostet 30 € pro Person und Tag inklusive Abendessen."
Q111,"Kann ich Vollpension buchen?","Ja, bitte sprechen Sie uns an. Wir bieten Vollpension je nach Aufenthaltsdauer an."
Q112,"Gibt es vegetarische Gerichte?","Ja, unser Restaurant bietet täglich mehrere vegetarische Gerichte an."
Q113,"Gibt es Kindermenüs?","Ja, im Restaurant steht eine Kinderkarte mit passenden Gerichten zur Verfügung."
Q114,"Gibt es Allergieinformationen zu Speisen?","Ja, alle Allergene sind in der Speisekarte gekennzeichnet. Sprechen Sie unser Personal gerne an."
Q115,"Kann ich Essen mitnehmen?","Ja, auf Wunsch verpacken wir Ihre Speisen zum Mitnehmen."
Q116,"Gibt es Zimmerservice am Abend?","Ja, von 18:00 bis 22:00 Uhr können Sie Speisen und Getränke aufs Zimmer bestellen."
Q117,"Wie rufe ich den Zimmerservice an?","Wählen Sie auf dem Zimmertelefon die Nummer 9, um den Zimmerservice zu erreichen."
Q118,"Gibt es einen Nachtservice?","Ja, Snacks und Getränke sind rund um die Uhr über den Automaten im Erdgeschoss verfügbar."
Q119,"Kann ich Getränke aufs Zimmer bestellen?","Ja, alkoholfreie Getränke und Wein sind über den Zimmerservice erhältlich."
Q120,"Wie kann ich den Weckdienst nutzen?","Rufen Sie die Rezeption an oder hinterlassen Sie Ihre gewünschte Weckzeit beim Check-In."
Q121,"Wie sicher ist der Safe im Zimmer?","Unsere Safes entsprechen aktuellen Sicherheitsstandards und sind nur mit Ihrem individuellen Code zu öffnen."
Q122,"Wie kann ich meinen Safe zurücksetzen?","Bitte melden Sie sich an der Rezeption, wir helfen Ihnen beim Zurücksetzen."
Q123,"Gibt es Handtücher für den Pool?","Ja, Poolhandtücher erhalten Sie kostenfrei im Spa-Bereich."
Q124,"Wo kann ich Bademäntel bekommen?","Bademäntel liegen im Zimmer oder können an der Rezeption ausgeliehen werden."
Q125,"Gibt es einen Föhn im Zimmer?","Ja, jedes Zimmer ist mit einem Föhn ausgestattet."
Q126,"Wie oft werden die Handtücher gewechselt?","Täglich. Hängen Sie Handtücher zum Wiederverwenden auf, um Wasser zu sparen."
Q127,"Gibt es eine Klimaanlage?","Ja, alle Zimmer sind mit individuell regelbarer Klimaanlage ausgestattet."
Q128,"Wie stelle ich die Klimaanlage ein?","Das Bedienfeld befindet sich an der Wand neben der Zimmertür."
Q129,"Wie funktioniert die Heizung?","Die Temperatur lässt sich am Thermostat anpassen. Bei Problemen hilft die Rezeption."
Q130,"Gibt es Fenster, die man öffnen kann?","Ja, in den meisten Zimmern können Sie die Fenster kippen oder öffnen."
Q131,"Sind die Fenster schallisoliert?","Ja, alle Fenster sind schallisoliert für einen ruhigen Schlaf."
Q132,"Gibt es Mückennetze an den Fenstern?","In den meisten Zimmern sind Mückennetze angebracht."
Q133,"Kann ich zusätzliche Bettwäsche bekommen?","Ja, wenden Sie sich an die Rezeption, wir bringen sie Ihnen gerne."
Q134,"Wie oft wird das Zimmer gereinigt?","Zimmer werden täglich gereinigt, auf Wunsch seltener."
Q135,"Wie kann ich die Zimmerreinigung aussetzen?","Hängen Sie bitte das 'Bitte nicht stören'-Schild an die Tür."
Q136,"Wie beantrage ich eine zusätzliche Reinigung?","Kontaktieren Sie die Rezeption, wir organisieren eine zusätzliche Reinigung."
Q137,"Gibt es Wäscheservice am Wochenende?","Ja, aber die Rückgabe erfolgt am Montagmorgen."
Q138,"Wie viel kostet der Wäscheservice?","Die Preise variieren je nach Kleidungsstück. Eine Preisliste liegt im Schrank."
Q139,"Gibt es Bügelservice?","Ja, auf Anfrage wird Ihre Kleidung gebügelt und zurückgebracht."
Q140,"Wie kann ich ein Bügeleisen bekommen?","Fragen Sie an der Rezeption, wir bringen Ihnen ein Bügeleisen aufs Zimmer."
Q141,"Kann ich ein zusätzliches Kissen bekommen?","Ja, rufen Sie die Rezeption an."
Q142,"Welche Kissenarten gibt es?","Wir bieten Feder-, Schaum- und Nackenstützkissen an."
Q143,"Wie kann ich Allergikerbettwäsche erhalten?","Bitte geben Sie Ihren Wunsch bei der Buchung oder beim Check-In an."
Q144,"Wann wird der Müll geleert?","Täglich im Rahmen der Zimmerreinigung."
Q145,"Wie kann ich die Minibar auffüllen lassen?","Informieren Sie die Rezeption, der Zimmerservice kümmert sich darum."
Q146,"Wie bezahle ich Artikel aus der Minibar?","Der Betrag wird beim Check-Out auf die Zimmerrechnung gesetzt."
Q147,"Wie kann ich einen Arzt rufen?","Bitte wenden Sie sich an die Rezeption. Wir rufen bei Bedarf einen Arzt oder Notdienst."
Q148,"Wo ist das nächste Krankenhaus?","Das nächste Krankenhaus ist 3 km entfernt in der Musterstraße 5."
Q149,"Gibt es eine Apotheke in der Nähe?","Ja, die Sonnen-Apotheke ist 300 Meter vom Hotel entfernt."
Q150,"Wie kann ich Medikamente kühlen?","Sie können Medikamente in der Minibar oder an der Rezeption kühl lagern lassen."
Q151,"Wie kann ich einen Taxitransfer bestellen?","Wenden Sie sich an die Rezeption, wir bestellen gerne ein Taxi für Sie."
Q152,"Kann ich ein Shuttle zum Flughafen bekommen?","Ja, bitte reservieren Sie spätestens einen Tag vorher an der Rezeption."
Q153,"Wie viel kostet der Flughafenshuttle?","Der Shuttle kostet 25 € pro Person."
Q154,"Wie kann ich mit öffentlichen Verkehrsmitteln zum Flughafen fahren?","Die Buslinie 50 fährt direkt vom Hotel zum Flughafen, Dauer ca. 30 Minuten."
Q155,"Gibt es Tickets für den Nahverkehr im Hotel?","Ja, Fahrscheine erhalten Sie an der Rezeption."
Q156,"Wie komme ich in die Innenstadt?","Mit der Buslinie 12 (Haltestelle vor dem Hotel) oder mit dem Taxi in 10 Minuten."
Q157,"Gibt es Sehenswürdigkeiten in der Nähe?","Ja, im Umkreis von 2 km befinden sich der Stadtpark, das Museum und die Altstadt."
Q158,"Gibt es Einkaufsmöglichkeiten in der Nähe?","Ja, ein Supermarkt und eine Drogerie befinden sich 200 m vom Hotel entfernt."
Q159,"Kann ich Fahrräder ausleihen?","Ja, Fahrräder können an der Rezeption ausgeliehen werden."
Q160,"Wie viel kostet der Fahrradverleih?","10 € pro Tag und Fahrrad."
Q161,"Gibt es Helme beim Fahrradverleih?","Ja, Helme sind im Preis inbegriffen."
Q162,"Kann ich mein eigenes Fahrrad abstellen?","Ja, im überdachten Fahrradraum hinter dem Hotel."
Q163,"Gibt es Ladestationen für E-Bikes?","Ja, direkt neben dem Fahrradraum."
Q164,"Gibt es eine Garage für Motorräder?","Ja, kostenpflichtige Stellplätze sind vorhanden."
Q165,"Wie sicher ist der Parkplatz?","Der Parkplatz ist videoüberwacht und nachts beleuchtet."
Q166,"Kann ich mein Auto waschen lassen?","Nein, aber in der Nähe gibt es eine Waschanlage. Die Rezeption informiert Sie gern."
Q167,"Gibt es eine E-Ladestation?","Ja, zwei Ladepunkte befinden sich auf dem Hotelparkplatz."
Q168,"Wie bezahle ich das Laden meines E-Autos?","Sie erhalten eine Ladekarte an der Rezeption, Abrechnung erfolgt beim Check-Out."
Q169,"Gibt es WLAN im gesamten Hotel?","Ja, das WLAN ist in allen Bereichen kostenfrei nutzbar."
Q170,"Wie lautet das WLAN-Passwort?","Netzwerkname: HotelGuest, Passwort: Welcome2025"
Q171,"Wie kann ich mich ins WLAN einloggen?","Wählen Sie das Netzwerk 'HotelGuest', geben Sie das Passwort ein und bestätigen Sie."
Q172,"Mein WLAN funktioniert nicht.","Bitte trennen Sie die Verbindung und verbinden Sie sich erneut. Sollte es nicht klappen, wenden Sie sich an die Rezeption."
Q173,"Gibt es einen Drucker für Gäste?","Ja, Sie können Dokumente an der Rezeption drucken oder scannen lassen."
Q174,"Wie kann ich Dokumente drucken?","Senden Sie die Datei per E-Mail an info@hotel-example.de oder bringen Sie einen USB-Stick mit."
Q175,"Kann ich Post empfangen?","Ja, Postsendungen werden an der Rezeption entgegengenommen."
Q176,"Kann ich Pakete versenden?","Ja, wir nehmen Pakete entgegen und leiten sie an den Versanddienst weiter."
Q177,"Gibt es einen Briefkasten?","Ja, neben der Rezeption befindet sich ein Briefkasten für Ihre Post."
Q178,"Wie lautet die Hoteladresse?","Musterstraße 1, 12345 Musterstadt, Deutschland."
Q179,"Wie lautet die Telefonnummer des Hotels?","+49 (0) 123 456 789"
Q180,"Wie lautet die E-Mail-Adresse des Hotels?","info@bellevue-grand.de"
Q181,"Wie sind die Check-In-Zeiten?","Check-In ab 15:00 Uhr, Check-Out bis 11:00 Uhr."
Q182,"Kann ich früher einchecken?","Früher Check-In ist nach Verfügbarkeit möglich, bitte kontaktieren Sie uns vorab."
Q183,"Kann ich später auschecken?","Late Check-Out ist nach Absprache und Verfügbarkeit möglich."
Q184,"Wie bezahle ich meinen Aufenthalt?","Wir akzeptieren Barzahlung, EC-Karte, Visa, Mastercard und Apple Pay."
Q185,"Gibt es eine Rechnung auf Firma?","Ja, bitte geben Sie die Firmendaten beim Check-In an."
Q186,"Kann ich den Namen auf meiner Buchung ändern?","Ja, Änderungen des Namens oder der Rechnungsadresse sind jederzeit vor Anreise möglich."
Q187,"Wie kann ich meine Buchung stornieren?","Kostenlose Stornierung bis 24 Stunden vor Anreise."
Q188,"Gibt es Gruppenrabatte?","Ja, für Gruppen ab 10 Personen bieten wir Sonderkonditionen an."
Q189,"Kann ich einen Geschenkgutschein kaufen?","Ja, Gutscheine erhalten Sie an der Rezeption oder online auf unserer Website."
Q190,"Kann ich mein Haustier mitbringen?","Ja, kleine Haustiere sind auf Anfrage erlaubt. Reinigungsgebühr 15 € pro Nacht."
Q191,"Wo darf ich mit meinem Hund spazieren gehen?","Ein Hundepark befindet sich 200 m vom Hotel entfernt."
Q192,"Gibt es Hundebetten oder Näpfe?","Ja, wir stellen gerne Näpfe und Decken bereit."
Q193,"Wie melde ich ein Problem?","Bitte wenden Sie sich direkt an die Rezeption oder kontaktieren Sie uns telefonisch unter +49 (0) 123 456 789."
Q194,"Was mache ich bei einem Feueralarm?","Verlassen Sie sofort das Zimmer, nehmen Sie keine Aufzüge und folgen Sie den Fluchtwegschildern."
Q195,"Wo sind die Notausgänge?","Die Notausgänge sind auf jedem Fluaxir ausgeschildert."
Q196,"Wie kontaktiere ich die Rezeption?","Vom Zimmertelefon aus wählen Sie die Nummer 9."
Q197,"Wie erreiche ich den Concierge?","Über die Rezeption."
Q198,"Wie kann ich Feedback geben?","Nutzen Sie den Bewertungslink in Ihrer Buchungs-E-Mail oder teilen Sie es direkt an der Rezeption mit."
Q199,"Wie kann ich eine Beschwerde einreichen?","Senden Sie eine E-Mail an feedback@bellevue-grand.de oder sprechen Sie mit dem Management."
Q200,"Wie kann ich Trinkgeld geben?","Sie können bar geben oder beim Check-Out auf die Rechnung setzen lassen."
Q201,"Wie kann ich im Restaurant einen Tisch reservieren?","Bitte wenden Sie sich an die Rezeption oder wählen Sie die Nummer 9 von Ihrem Zimmertelefon, um einen Tisch zu reservieren."
Q202,"Gibt es im Restaurant einen Dresscode?","Ein leger-eleganter Kleidungsstil ist willkommen. Sport- oder Badebekleidung bitten wir zu vermeiden."
Q203,"Wie viele Plätze hat das Restaurant?","Unser Restaurant verfügt über 80 Sitzplätze im Innenbereich und 30 auf der Terrasse."
Q204,"Kann ich draußen essen?","Ja, bei schönem Wetter servieren wir auf unserer Sonnenterrasse."
Q205,"Wie heißen die Köche des Restaurants?","Unser Küchenchef ist Marco Reinhardt, der Souschef ist Anna Meier."
Q206,"Welche Küche wird im Restaurant angeboten?","Wir servieren moderne europäische Küche mit regionalen Zutaten."
Q207,"Gibt es Kindergerichte im Restaurant?","Ja, wir haben eine spezielle Kinderkarte mit kleineren Portionen."
Q208,"Gibt es eine Weinkarte?","Ja, unsere Weinkarte bietet regionale und internationale Weine. Fragen Sie gerne den Sommelier."
Q209,"Kann ich im Restaurant frühstücken, wenn ich kein Hotelgast bin?","Ja, auch externe Gäste sind herzlich willkommen. Bitte reservieren Sie vorab einen Tisch."
Q210,"Kann ich im Restaurant Mittagessen?","Ja, wir servieren täglich ein Mittagsmenü von 12:00 bis 14:30 Uhr."
Q211,"Gibt es ein À-la-carte-Menü?","Ja, Sie können jederzeit à la carte bestellen."
Q212,"Wann öffnet die Bar?","Unsere Hotelbar ist täglich von 17:00 bis 1:00 Uhr geöffnet."
Q213,"Welche Getränke gibt es an der Bar?","Wir bieten Cocktails, Longdrinks, lokale Biere, Weine und alkoholfreie Getränke an."
Q214,"Gibt es Happy Hour Angebote?","Ja, täglich von 17:00 bis 19:00 Uhr erhalten Sie 20 % Rabatt auf alle Cocktails."
Q215,"Kann ich Snacks an der Bar bestellen?","Ja, eine kleine Snackkarte ist verfügbar."
Q216,"Gibt es Live-Musik an der Bar?","Freitags und samstags spielt ein Pianist ab 20:00 Uhr."
Q217,"Kann ich die Bar auch für private Feiern mieten?","Ja, bitte kontaktieren Sie unser Event-Team unter events@hotel-example.de."
Q218,"Kann ich Wein aufs Zimmer bestellen?","Ja, über den Zimmerservice erhalten Sie eine Auswahl an Weinen und Sekt."
Q219,"Gibt es eine Minibar im Zimmer?","Ja, alle Zimmer verfügen über eine Minibar mit Softdrinks und Snacks."
Q220,"Wie oft wird die Minibar aufgefüllt?","Die Minibar wird täglich kontrolliert und bei Bedarf aufgefüllt."
